Data;1310 - Quantidade de ovos produzida - Dúzias (mil)
01/1989;98.191
02/1989;92.070
03/1989;100.521
04/1989;99.336
05/1989;103.325
06/1989;101.133
07/1989;103.439
08/1989;105.456
09/1989;103.082
10/1989;105.786
11/1989;104.677
12/1989;106.993
01/1990;100.853
02/1990;93.759
03/1990;101.971
04/1990;101.849
05/1990;105.441
06/1990;103.639
07/1990;105.669
08/1990;107.246
09/1990;104.938
10/1990;108.387
11/1990;104.282
12/1990;103.195
01/1991;107.102
02/1991;100.921
03/1991;110.811
04/1991;109.815
05/1991;111.869
06/1991;109.829
07/1991;113.009
08/1991;113.976
09/1991;112.004
10/1991;113.162
11/1991;108.953
12/1991;110.610
01/1992;109.620
02/1992;105.046
03/1992;113.166
04/1992;111.331
05/1992;114.749
06/1992;113.585
07/1992;118.969
08/1992;118.865
09/1992;115.294
10/1992;115.356
11/1992;112.489
12/1992;115.219
01/1993;112.901
02/1993;107.318
03/1993;116.919
04/1993;114.954
05/1993;116.666
06/1993;115.237
07/1993;116.272
08/1993;117.347
09/1993;115.496
10/1993;116.671
11/1993;114.532
12/1993;116.874
01/1994;116.285
02/1994;109.340
03/1994;120.819
04/1994;117.530
05/1994;120.716
06/1994;119.713
07/1994;121.576
08/1994;120.736
09/1994;118.965
10/1994;123.728
11/1994;122.242
12/1994;128.108
01/1995;128.119
02/1995;116.699
03/1995;128.097
04/1995;126.092
05/1995;129.654
06/1995;128.902
07/1995;129.288
08/1995;128.059
09/1995;125.182
10/1995;128.921
11/1995;126.440
12/1995;125.616
01/1996;118.598
02/1996;114.793
03/1996;121.751
04/1996;124.540
05/1996;125.989
06/1996;123.794
07/1996;127.343
08/1996;127.146
09/1996;123.640
10/1996;124.795
11/1996;123.552
12/1996;124.576
01/1997;125.598
02/1997;117.771
03/1997;127.017
04/1997;125.980
05/1997;126.953
06/1997;124.686
07/1997;130.604
08/1997;130.614
09/1997;127.650
10/1997;127.673
11/1997;123.824
12/1997;127.837
01/1998;129.202
02/1998;121.050
03/1998;131.919
04/1998;131.364
05/1998;133.909
06/1998;131.032
07/1998;134.069
08/1998;135.025
09/1998;131.711
10/1998;127.590
11/1998;125.625
12/1998;128.566
01/1999;129.996
02/1999;122.337
03/1999;134.820
04/1999;130.851
05/1999;135.303
06/1999;133.112
07/1999;134.422
08/1999;133.417
09/1999;130.528
10/1999;132.376
11/1999;129.252
12/1999;131.859
01/2000;138.585
02/2000;132.347
03/2000;141.658
04/2000;138.153
05/2000;140.695
06/2000;137.692
07/2000;139.827
08/2000;140.177
09/2000;138.376
10/2000;139.986
11/2000;136.370
12/2000;138.848
01/2001;136.488
02/2001;126.571
03/2001;139.771
04/2001;141.553
05/2001;144.881
06/2001;142.777
07/2001;147.995
08/2001;149.482
09/2001;144.412
10/2001;148.701
11/2001;144.403
12/2001;147.555
01/2002;151.909
02/2002;141.654
03/2002;154.730
04/2002;150.713
05/2002;152.615
06/2002;149.928
07/2002;155.186
08/2002;152.678
09/2002;146.392
10/2002;147.001
11/2002;143.987
12/2002;146.871
01/2003;148.748
02/2003;139.853
03/2003;152.350
04/2003;152.063
05/2003;154.564
06/2003;150.651
07/2003;155.979
08/2003;156.326
09/2003;153.786
10/2003;156.933
11/2003;151.910
12/2003;156.609
01/2004;157.150
02/2004;149.515
03/2004;160.681
04/2004;158.969
05/2004;160.188
06/2004;158.859
07/2004;164.166
08/2004;163.473
09/2004;161.344
10/2004;162.070
11/2004;160.484
12/2004;165.448
01/2005;163.641
02/2005;153.057
03/2005;167.704
04/2005;165.538
05/2005;167.178
06/2005;167.008
07/2005;172.475
08/2005;175.240
09/2005;169.464
10/2005;173.519
11/2005;171.099
12/2005;172.431
01/2006;175.985
02/2006;163.535
03/2006;177.014
04/2006;170.916
05/2006;177.139
06/2006;174.126
07/2006;181.227
08/2006;182.556
09/2006;176.553
10/2006;180.807
11/2006;176.104
12/2006;176.417
01/2007;178.346
02/2007;167.239
03/2007;181.609
04/2007;178.155
05/2007;181.807
06/2007;177.839
07/2007;181.942
08/2007;182.482
09/2007;180.460
10/2007;187.712
11/2007;183.183
12/2007;185.134
01/2008;189.093
02/2008;179.972
03/2008;190.932
04/2008;188.169
05/2008;192.449
06/2008;187.599
07/2008;194.040
08/2008;193.341
09/2008;189.266
10/2008;193.705
11/2008;188.948
12/2008;194.027
01/2009;197.488
02/2009;184.330
03/2009;198.448
04/2009;191.891
05/2009;195.152
06/2009;193.955
07/2009;201.961
08/2009;199.777
09/2009;196.571
10/2009;200.660
11/2009;197.700
12/2009;203.040
01/2010;204.204
02/2010;191.687
03/2010;207.836
04/2010;202.624
05/2010;204.515
06/2010;203.454
07/2010;208.974
08/2010;207.864
09/2010;205.163
10/2010;208.922
11/2010;205.195
12/2010;207.441
01/2011;210.307
02/2011;196.983
03/2011;212.814
04/2011;209.061
05/2011;214.305
06/2011;210.536
07/2011;216.293
08/2011;220.313
09/2011;214.209
10/2011;221.378
11/2011;217.779
12/2011;222.744
01/2012;229.097
02/2012;215.547
03/2012;228.521
04/2012;223.914
05/2012;227.051
06/2012;222.387
07/2012;231.664
08/2012;230.366
09/2012;220.803
10/2012;225.089
11/2012;218.468
12/2012;222.568
01/2013;229.401
02/2013;212.779
03/2013;228.319
04/2013;225.709
05/2013;229.956
06/2013;225.143
07/2013;231.799
08/2013;233.710
09/2013;227.231
10/2013;235.697
11/2013;228.892
12/2013;231.684
01/2014;234.110
02/2014;218.280
03/2014;235.204
04/2014;230.837
05/2014;236.675
06/2014;230.856
07/2014;238.941
08/2014;242.079
09/2014;239.075
10/2014;242.571
11/2014;236.903
12/2014;239.343
01/2015;238.629
02/2015;224.224
03/2015;243.556
04/2015;238.573
05/2015;241.805
06/2015;241.085
07/2015;250.072
08/2015;254.129
09/2015;247.222
10/2015;250.883
11/2015;245.555
12/2015;251.611
01/2016;253.056
02/2016;244.958
03/2016;259.176
04/2016;252.340
05/2016;257.356
06/2016;251.190
07/2016;259.346
08/2016;264.536
09/2016;255.715
10/2016;267.475
11/2016;263.381
12/2016;269.312
01/2017;270.661
02/2017;250.989
03/2017;268.896
04/2017;269.936
05/2017;278.764
06/2017;271.698
07/2017;281.224
08/2017;285.160
09/2017;277.524
10/2017;288.326
11/2017;283.022
12/2017;286.860
01/2018;292.446
02/2018;273.010
03/2018;295.611
04/2018;292.410
05/2018;297.813
06/2018;289.312
07/2018;308.619
08/2018;313.530
09/2018;302.581
10/2018;318.129
11/2018;308.658
12/2018;314.628
01/2019;318.001
02/2019;293.380
03/2019;317.665
04/2019;316.551
05/2019;320.459
06/2019;310.804
07/2019;325.824
08/2019;327.973
09/2019;320.025
10/2019;333.124
11/2019;327.260
12/2019;331.071
01/2020;328.532
02/2020;313.818
03/2020;332.593
04/2020;321.713
05/2020;327.305
06/2020;326.656
07/2020;339.965
08/2020;340.856
09/2020;336.691
10/2020;332.741
11/2020;324.391
12/2020;334.249
01/2021;330.138
02/2021;308.026
03/2021;340.086
Fonte;IBGE
